Category,Place ID,手動問題
only_in_file1,ChIJBSJ4cZeuQjQRQazZENQnc3I,空值
only_in_file1,ChIJKSTiMpipQjQRKyYzEUJGUoA,?
only_in_file1,ChIJyWL5GdCrQjQRFtLpWQ55V5w,?
only_in_file1,ChIJF3lBEhqrQjQRsAlWf6us9mw,?
only_in_file1,ChIJB6BxVEipQjQRf8jWYnmD0XY,空值
only_in_file1,ChIJl9JYfaupQjQR8E80n5hMzO4,空值
only_in_file1,ChIJ-a3PcOWrQjQR8fX12yVxmgQ,空值
only_in_file1,ChIJM6757eP_ZzQRCKhrShS7dTY,空值
only_in_file1,ChIJDTrW99IBaDQRh3_glM8z2BU,?
only_in_file1,ChIJ-Rnhfk-pQjQRXNxQgByFStQ,空值
only_in_file1,ChIJ8ZKMM1ypQjQRzZ9NAbaMZqE,空值
only_in_file1,ChIJ_____xQdaDQRgy0KzZieiHc,?
only_in_file1,ChIJW3C16XanQjQR1ef6oafoqtM,?
only_in_file1,ChIJgxOmWoZVXTQRAgzzKnZDRXM,?
only_in_file1,ChIJLdhtG3WoQjQROgXM4Vr4SR4,?
only_in_file1,ChIJv2Ixcf-rQjQRVZ06vQoYT2M,空值
only_in_file1,ChIJXWraqWcdaDQRNyOSeO-Skgs,?
only_in_file1,ChIJl1VZNR6pQjQRd4f-RIHDEmk,?
only_in_file1,ChIJfzNX6IunQjQRdYn5FQiBLRE,?
only_in_file1,ChIJKeU6Rx-tQjQRRD3Pzs1oP-U,?
only_in_file1,ChIJwwpapF6pQjQRvNsiTzjbGGE,?
only_in_file1,ChIJh-tThh8BaDQRuvsMP69ORB8,?
only_in_file1,ChIJE4VsTbmrQjQR_XpcycDjHCQ,?
only_in_file1,ChIJS_qmBMmoQjQRLetn6wX21ek,?
only_in_file1,ChIJGRznmnusQjQRea5kkbz9Ja0,?
only_in_file1,ChIJU-GHe16pQjQRDhYcp-2P-CQ,?
only_in_file1,ChIJNQ5LMQCrQjQRYGM583KrLLg,?
only_in_file1,ChIJxWUf6ySpQjQR1jL4Racg6pI,?
only_in_file1,ChIJp4Bvjx2oQjQRsM4ZbjP0_Mc,?
only_in_file1,ChIJM8QwlTmmQjQRQscoTxyjx1M,空值
only_in_file1,ChIJM_F3VpGrQjQRbWTsRaySc-M,?
only_in_file1,ChIJbR_veWKrQjQRyNk7HMd4VQQ,?
only_in_file1,ChIJFT8J21hTXTQRxxQJkJhZrBk,?
only_in_file1,ChIJJbZhwFCpQjQRyuKW6JR_C1A,空值
only_in_file1,ChIJMczO5muvQjQRCeooqTVGg6Y,?
